Link,Script
http://www.aellea.com/emruf3/tip.html,"



Trouble in Paradise


Trouble in Paradise
 
			SEQUENCE A 

FADE IN  NIGHT
  
MED. SHOT   DOOR OF A HOUSE   
A cheap residential district. The house has no architectural 
character; it is not certain where we are. Near the entrance 
door is a garbage can, full.

A dog is nibbling at some of the garbage. We hear whistling, 
footsteps. A garbage man comes into the picture. He shoos 
the dog away. Without pause in whistling, he lifts the 
garbage can and, followed by camera, goes to the end of the 
block, which is only a few steps. Now we discover we are in 
Venice. In the background is a major canal and a typical 
bridge--romantic background. Gondolas are passing. In the 
foreground at the sidewalk is the garbage gondola, piled 
high with garbage. The man dumps his load, leaves the empty 
can on the sidewalk, gets in the gondola, and paddles away 
with the grace of a gondolier. Now, in a beautiful tenor 
voice which is quite a contrast to the garbage, he starts 
singing a passionate "
http://www.aellea.com/emruf3/tm.html,"

Transatlantic Merry-Go-Round



Transatlantic Merry-Go-Round 
1               CREDIT TITLES reach the screen--superimposed 
                on a background of steaming funnels belching 
                steam--accompanied by a musical score of ex-
                citing tempo.

                                        DISSOLVE TO:

2               LONG SHOT--NIGHT
                Large ocean liner, plowing through darkened 
                waters, its decks and portholes brilliantly 
                illuminated.

                                        CUT TO: 

3               QUICK FLASH--MEDIUM SHOT--PROW OF SHIP 
                Coming straight onto the CAMERA. The speed at
                which she is traveling throws a phosphorescent 
                spray many feet into the air--almost up to the 
                bowsprit, under which is carved, in ornate letters, 
                S. S. Progress.

                                        DISSOLVE TO: 

4               LONG SHOT
  "
http://www.dailyscript.com/scripts/Mr%20Smith%20Goes%20To%20Washington.txt,"                              ""MR. SMITH GOES TO WASHINGTON""

                                      Screenplay by

                                      Sidney Buchman

                                         Story by

                                     Lewis R. Foster

                

               The CAPITOL DOME at Washington fades in. It is night, and 
               the dome is flooded in light.

               This view dissolves to the exterior of a Newspaper Office 
               WINDOW, seen at night. The letters on the window, illuminated 
               by a street light, are picked out with increasing 
               distinctness. They read: WASHINGTON POST-DISPATCH. This 
               dissolves into the NIGHT CITY EDITOR'S OFFICE, where a 
               lethargic, eyeshaded man behind a desk reaches for the 
               telephone which is ringing.

                                     EDITOR
                              (mechanically)"
http://www.dailyscript.com/scripts/Ninotchka.txt,"                                       ""NINOTCHKA""

                                      Screenplay by

                              Charles Brackett, Billy Wilder

                                           And

                                      Walter Reisch

                                         Story by

                                     Melchior Lengyel

                                      SHOOTING DRAFT

                                           1939

                

               FADE IN ON:

               AN ESTABLISHING SHOT OF PARIS IN THE MONTH OF APRIL

                                                               DISSOLVE TO:

               THE LUXURIOUS LOBBY OF THE HOTEL CLARENCE

               CAMERA MOVES to a CLOSE SHOT of the desk. In the background 
               is a revolving door leading to the street. Through the 
               revolving door comes a strangely dressed individual, obviously 
               one who doesn't belong in such su"
http://www.dailyscript.com/scripts/i-walked_with_a_zombie.html,"


I Walked with a Zombie



	 		    I WALKED WITH A ZOMBIE

				Original Screen Play

					By

			 Curt Siodmak and Ardel Wray


	   Based on Scientific Information from Articles

					By

				   Inez Wallace


	The RKO trademark FADES OUT, to reveal a road lined with palm
	trees, spectrally long and straight like a vista in a Dali
	painting.  Along this road and from a far distance two tiny
	figures advance toward the camera.  Over this scene the TITLE
	and CREDITS are SUPERIMPOSED.  The two figures continue to
	advance, growing more discernible all the time.

	As the credits FADE, the two human figures advancing along
	the road are more clearly discernible.  Although they are not
	close enough to distinguish their faces, it can be seen that
	one of them is an enormously tall, cadaverous negro, clothed
	only by ragged, tight-fitting trousers and that the other is
	nurse, dressed in crisp white uniform and cap, with a dark
	cloak over her shoulders.


"
http://www.dailyscript.com/scripts/theleopardman.htm,"








THE LEOPARD MAN
Screen Play

by 

Ardel Wray


From the Novel BLACK ALIBI by Cornell Woolrich

                                                       FADE IN


               On the fountain at El Pueblo. A jet of waiter rises into the
               air at regular intervals, tossing an empty ball in rhythm.
               Below the ball, the water cascades into the second tier of
               the fountain. SUPERIMPOSED over this fountain are the main
               and credit titles. Throughout the running of the titles we
               hear castanet music growing louder and louder. When the last
               credit title FADE OFF we begin to


                                                       DISSOLVE


               The corridor, backstage at El Pueblo. An empty corridor
               stretches away before us. The CAMERA TRUCKS ALONG this
               corridor. The sound of the castanets is so loud and ringing
               now th"
http://www.dailyscript.com/scripts/SeventhVictim.htm,"

Seventh Victim



                                    THE SEVENTH VICTIM

                                       Screen Play

                                            by

                             Charles O'Neal and DeWitt Bodeen


               The RKO TITLE and CREDITS are SUPERIMPOSED over a tall
               stained glass window as shown from the inside of a building.
               There are two maidenly figures worked into the stained glass
               window: one, older and slightly taller, dressed in van
               colored garments, leads by the hand a younger and smaller
               girl, dressed in a simple flowing, white robe. Through the
               lighter colored pieces of glass in the window the branches of
               a tree can be seen stirring in a light wind.


               The last credit FADES from the screen.


               INT. STAIRWAY - HIGHCLIFFE ACADEMY - DAY

               The CAMERA HOLDS ON the stain"
http://www.dailyscript.com/scripts/cursecat.htm,"




                            ""THE CURSE OF THE CAT PEOPLE""

                                     Screen Play

                                        by 

                                   DeWitt Bodeen 

            The MAIN and CREDIT TITLES are SUPERIMPOSED on a series of
            line drawings of elves, small forest creatures, tree limbs,
            and other grotesqueries drawn in the delicate, fanciful, and
            yet frightening style of Arthur Rackham, The DISSOLVES from
            one card to another are accomplished by a gust of wind
            blowing autumnal leaves past the title as the card begins its
            dissolve.  The drawing on the last card shows an oddly shaped
            tree trunk.

                                                                FADE OUT
            FADE IN

            EXT. FOREST PATH - DAY

            CAMERA IS SHOOTING PAST the actual tree which we have seen
            depicted in the last card."
http://www.dailyscript.com/scripts/TheBodySnatcher.htm,"

The Body Snatcher screenplay



                                    RKO RADIO PICTURES
                                         presents

                                    THE BODY SNATCHER

               BORIS KARLOFF as John Gray
                HENRY DANIELL as Dr. McFarland
                 BELA LUGOSI as Joseph
                  RUSSELL WADE as Dr. Donald Fettes
                   EDITH ATWATER as Meg Camden
                    RITA CORDAY as Mrs. Marsh
                     SHARYN MOFFETT as Georgina Marsh
                      DONNA LEE as The Street Singer
                       ROBERT CLARKE as Richardson
                        CARL KENT as Gilchrist
                         BILL WILLIAMS as A Medical Student
                          JACK WELCH as the Boy
                           LARRY WHEAT as the Salesman
                            MARY GORDON as Mrs. McBride
                             JIM MORAN as the Horse Trader
                            "
http://www.dailyscript.com/scripts/isleofthedead.htm,"

isleofthedead.html



                                    ""ISLE OF THE DEAD""

                                            by

                                Ardel Wray & Josef Mischel


               The MAIN and CREDIT TITLES are SUPERIMPOSED over a MATTE
               SCENE of the Isle of the Dead. When the last CREDIT TITLE
               DISSOLVES, the painting is left clear for a moment and then
               there FADE IN the following words:

               WHEN WAR AND TUMULT TORMENT THE EARTH,
               THE DEAD ARE DISQUIETED: THERE IS
               FRENZY IN THE GRAVE.  HERODOTUS

               When this inscription has remained on the screen long enough
               to be read, underneath it appear in block letters the words:

               GREECE - 1912

                                                       FADE OUT.

               FADE IN   

               CLOSE SHOT Cerberus  night. The three-headed guardian of
            "
